,value,predicted
2020-10-21 04:00:00+00:00,20.1491111111111,25.616342596876784
2020-10-21 04:15:00+00:00,19.99929687500002,25.62167781210016
2020-10-21 04:30:00+00:00,20.48391304347829,25.62167781210016
2020-10-21 04:45:00+00:00,20.112362637362647,25.62167781210016
2020-10-21 05:00:00+00:00,20.598770491803304,25.62167781210016
2020-10-21 05:15:00+00:00,20.563622047244074,25.62167781210016
2020-10-21 05:30:00+00:00,20.74197802197803,25.616342596876784
2020-10-21 05:45:00+00:00,20.925819672131155,25.616342596876784
2020-10-21 06:00:00+00:00,21.196578947368426,25.616342596876784
2020-10-21 06:15:00+00:00,21.097524752475234,25.616342596876784
2020-10-21 06:30:00+00:00,21.48482758620692,25.616342596876784
2020-10-21 06:45:00+00:00,21.936618705036,25.616342596876784
2020-10-21 07:00:00+00:00,21.187692307692313,25.616342596876784
2020-10-21 07:15:00+00:00,21.08950000000001,25.616342596876784
2020-10-21 07:30:00+00:00,21.329316239316267,25.616342596876784
2020-10-21 07:45:00+00:00,21.697710843373496,25.616342596876784
2020-10-21 08:00:00+00:00,21.76456140350878,25.616342596876784
2020-10-21 08:15:00+00:00,21.666301369863,25.616342596876784
2020-10-21 08:30:00+00:00,21.951864406779638,25.616342596876784
2020-10-21 08:45:00+00:00,21.831338028169025,25.616342596876784
2020-10-21 09:00:00+00:00,21.588656716417916,25.616342596876784
2020-10-21 09:15:00+00:00,21.48990740740741,25.616342596876784
2020-10-21 09:30:00+00:00,21.691666666666652,25.616342596876784
2020-10-21 09:45:00+00:00,21.802249999999997,25.616342596876784
2020-10-21 10:00:00+00:00,22.04102272727268,25.616342596876784
2020-10-21 10:15:00+00:00,21.876568627450975,25.616342596876784
2020-10-21 10:30:00+00:00,22.096304347826095,25.616342596876784
2020-10-21 10:45:00+00:00,22.04510638297872,25.616342596876784
2020-10-21 11:00:00+00:00,22.06970760233918,25.616342596876784
2020-10-21 11:15:00+00:00,21.78388888888887,25.616342596876784
2020-10-21 11:30:00+00:00,22.034523809523794,25.616342596876784
2020-10-21 11:45:00+00:00,22.510789473684206,25.616342596876784
2020-10-21 12:00:00+00:00,22.381408450704225,25.616342596876784
2020-10-21 12:15:00+00:00,22.40590476190475,25.616342596876784
2020-10-21 12:30:00+00:00,22.169293478260872,25.616342596876784
2020-10-21 12:45:00+00:00,22.286458333333353,25.616342596876784
2020-10-21 13:00:00+00:00,21.936727272727268,25.616342596876784
2020-10-21 13:15:00+00:00,22.146959459459453,25.616342596876784
2020-10-21 13:30:00+00:00,22.153351063829767,25.616342596876784
2020-10-21 13:45:00+00:00,22.281228070175434,25.616342596876784
2020-10-21 14:00:00+00:00,22.331176470588236,25.616342596876784
2020-10-21 14:15:00+00:00,22.365897435897434,25.616342596876784
2020-10-21 14:30:00+00:00,22.11030303030302,25.616342596876784
2020-10-21 14:45:00+00:00,22.08599999999999,25.616342596876784
2020-10-21 15:00:00+00:00,22.07213333333333,25.616342596876784
2020-10-21 15:15:00+00:00,22.281553398058247,25.616342596876784
2020-10-21 15:30:00+00:00,21.90160839160838,25.616342596876784
2020-10-21 15:45:00+00:00,22.009357798165144,25.616342596876784
2020-10-21 16:00:00+00:00,21.80742857142855,25.616342596876784
